source,row_id,reason,logged_at
orders,400,invalid date: 2025-99-99,2026-06-18T19:11:35.605382
orders,493,invalid date: 2025-99-99,2026-06-18T19:11:35.667354
orders,550,invalid date: 2025-99-99,2026-06-18T19:11:35.707225
orders,581,invalid date: 2025-99-99,2026-06-18T19:11:35.728472
orders,591,invalid date: 2025-99-99,2026-06-18T19:11:35.736615
orders,597,invalid date: 2025-99-99,2026-06-18T19:11:35.741377
orders,616,invalid date: 2025-99-99,2026-06-18T19:11:35.756232
orders,623,invalid date: 2025-99-99,2026-06-18T19:11:35.760830
orders,666,invalid date: 2025-99-99,2026-06-18T19:11:35.792519
orders,674,invalid date: 2025-99-99,2026-06-18T19:11:35.798172
orders,743,invalid date: 2025-99-99,2026-06-18T19:11:35.845596
orders,794,invalid date: 2025-99-99,2026-06-18T19:11:35.881302
orders,873,invalid date: 2025-99-99,2026-06-18T19:11:35.933571
orders,962,invalid date: 2025-99-99,2026-06-18T19:11:35.992026
orders,1028,invalid date: 2025-99-99,2026-06-18T19:11:36.037080
orders,1046,invalid date: 2025-99-99,2026-06-18T19:11:36.049865
orders,1111,invalid date: 2025-99-99,2026-06-18T19:11:36.093817
orders,1137,invalid date: 2025-99-99,2026-06-18T19:11:36.111786
orders,1162,invalid date: 2025-99-99,2026-06-18T19:11:36.130079
orders,1181,invalid date: 2025-99-99,2026-06-18T19:11:36.142840
payments,1,invalid amount: error_amount,2026-06-18T19:11:36.249704
payments,7,invalid amount: error_amount,2026-06-18T19:11:36.250106
payments,14,invalid amount: error_amount,2026-06-18T19:11:36.250352
payments,42,invalid amount: error_amount,2026-06-18T19:11:36.250937
payments,117,invalid amount: error_amount,2026-06-18T19:11:36.251348
payments,141,invalid amount: error_amount,2026-06-18T19:11:36.251651
payments,179,invalid amount: error_amount,2026-06-18T19:11:36.252075
payments,213,invalid amount: error_amount,2026-06-18T19:11:36.252471
payments,225,invalid amount: error_amount,2026-06-18T19:11:36.252807
payments,232,invalid amount: error_amount,2026-06-18T19:11:36.253056
payments,240,invalid amount: error_amount,2026-06-18T19:11:36.253294
payments,296,invalid amount: error_amount,2026-06-18T19:11:36.253576
payments,359,invalid amount: error_amount,2026-06-18T19:11:36.253820
payments,422,invalid amount: error_amount,2026-06-18T19:11:36.254010
payments,500,invalid amount: error_amount,2026-06-18T19:11:36.254186
payments,563,invalid amount: error_amount,2026-06-18T19:11:36.254518
payments,565,invalid amount: error_amount,2026-06-18T19:11:36.254792
payments,610,invalid amount: error_amount,2026-06-18T19:11:36.255045
payments,682,invalid amount: error_amount,2026-06-18T19:11:36.255392
payments,686,invalid amount: error_amount,2026-06-18T19:11:36.255754
payments,744,invalid amount: error_amount,2026-06-18T19:11:36.256105
payments,768,invalid amount: error_amount,2026-06-18T19:11:36.256469
payments,808,invalid amount: error_amount,2026-06-18T19:11:36.256910
payments,834,invalid amount: error_amount,2026-06-18T19:11:36.257224
payments,856,invalid amount: error_amount,2026-06-18T19:11:36.257535
payments,860,invalid amount: error_amount,2026-06-18T19:11:36.257814
payments,865,invalid amount: error_amount,2026-06-18T19:11:36.258015
payments,870,invalid amount: error_amount,2026-06-18T19:11:36.258272
payments,928,invalid amount: error_amount,2026-06-18T19:11:36.258523
payments,937,invalid amount: error_amount,2026-06-18T19:11:36.258745
payments,957,invalid amount: error_amount,2026-06-18T19:11:36.259018
payments,966,invalid amount: error_amount,2026-06-18T19:11:36.259274
payments,1,invalid amount: error_amount,2026-06-18T19:11:36.259530
payments,7,invalid amount: error_amount,2026-06-18T19:11:36.259827
events,BAD_ID,invalid event_id,2026-06-18T19:11:36.364790
